model,prompt,sentence_sha256,stance,topic,prompt_tokens,completion_tokens,sentence
gpt-5-mini,codebook,ec855e1f2e7e4485b48eda6e86296c39bfaf515007eed199b7df3a3fedba063d,neutral,inflation,,,"Oil prices have been fluctuating in response to geopolitical events and, going forward, are assumed to be slightly below the levels in the October report."
gpt-5-mini,codebook,ec8d0edca13c669e3f2d2323de1b24071308547e6556a464b0778a4977de1e11,neutral,guidance,,,"The Bank will publish its next MPR on July 30, 2025."
gpt-5-mini,codebook,ec9a46598247984ebb529faa19715188542fe4e146b13cbd06b73694960657e1,neutral,financial_stability,372,149,"It will take some time to fully assess the impact of these, as well as recently announced provincial measures, on housing demand and prices."
gpt-5-mini,codebook,eca128786b0d4c07d7e0d4e799da4776d4d0f4157f540468c9c5e29b937fcdba,neutral,employment,,,Employment has risen in recent months.
gpt-5-mini,codebook,ecbbfb76960012e682389a63204384fbc6b948ee4cc8adb0199f92cdd0d7f9f3,neutral,financial_stability,365,84,A range of indicators suggested that both fixed-income and funding markets continued to function smoothly over the period.
gpt-5-mini,codebook,ecc8b4ad05fd53a953ccc224755c2bebd15f5d1a792ef088ebb6d34e090c7946,neutral,inflation,360,83,The Committee continues to closely monitor inflation indicators and global economic and financial developments.
gpt-5-mini,codebook,ecde3e014be053adac46269a8abe3f0890ad30810c610d9d5a423751cac82377,neutral,financial_stability,,,"Following the resolution, the Treasury was expected to increase bill issuance to restore the Treasury General Account to more normal levels."
gpt-5-mini,codebook,ed0ff499c1a2a423e5af975853fe714ea9f4ef9d4253a70178963244c650bcb1,neutral,growth,366,82,Global economic activity remains broadly on track with the Bank’s April Monetary Policy Report (MPR ) forecast.
gpt-5-mini,codebook,ed2ada793e54ef5bd834d9f9ca8980649293bf3fcf78646bee8b7c7fdf25080c,hawkish,growth,,,"However, the level of real GDP was expected to remain well above potential throughout the projection period, and the unemployment rate was expected to decline to historically low levels."
gpt-5-mini,codebook,ed327dfacf8f2ebce369b3296ec728bee3b8e29791630a6be40fada2ea3e9aae,neutral,employment,,,Employment has declined in the past two months since the Bank’s July MPR was published.
gpt-5-mini,codebook,ed3a2b85fa91e55ce650e470dbbe695fab33a66641343a40fdce55179e0de156,neutral,financial_stability,,,The effective federal funds rate was little changed after the closures of Silicon Valley Bank and Signature Bank.
gpt-5-mini,codebook,ed412eb626c293ddbb0bd7754a5bb629918bb86ac6e164767f6258f738bcc57f,neutral,employment,385,210,"September 20, 2017 Information received since the Federal Open Market Committee met in July indicates that the labor market has continued to strengthen and that economic activity has been rising moderately so far this year."
gpt-5-mini,codebook,ed43b75024528f3a2a6b2a2fe2c740086e7da80527fa225a77af1d823b7590fb,neutral,inflation,361,83,"CPI inflation in July was stronger than expected, largely because of temporary factors."
gpt-5-mini,codebook,ed52492c67c95b7da7ef7883c5c8f469b8b3510c12fe9ccca9a304dd5dc3eda4,hawkish,inflation,361,212,"Gasoline prices rose in the aftermath of the hurricanes, boosting overall inflation in September"
gpt-5-mini,codebook,ed57688bd8a7eaea36651cc7c68c7812114845c0ef85e4febfaf4d32baa9ea60,hawkish,guidance,,,"In discussing potential policy actions at upcoming meetings, participants reaffirmed their strong commitment to returning inflation to the Committee's 2 percent objective, and they continued to anticipate that ongoing increases in the target range for the federal funds rate would be appropriate in order to attain a sufficiently restrictive stance of policy to bring inflation down over time."
gpt-5-mini,codebook,ed5d122b819dc30354fc28fd0e5986b8a5ba9023b8f35183c98e45772687057d,dovish,guidance,394,277,"If the outlook for the labor market does not improve substantially, the Committee will continue its purchases of agency mortgage-backed securities, undertake additional asset purchases, and employ its other policy tools as appropriate until such improvement is achieved in a context of price stability."
gpt-5-mini,codebook,ed622d2d5ebc28debc3510a090dca83e1891435a5e6e7483eedc05d7e463619e,neutral,growth,,,"In addition, COVID-related lockdowns in China are likely to exacerbate supply chain disruptions."
gpt-5-mini,codebook,ed68d05d34dc5b0d94fbbcc8bff729dd830120e035496b66b49bbae20c94cd6b,neutral,financial_stability,,,"In Eastern European countries, currencies depreciated notably and equity prices declined, but most emerging market currencies outside of Eastern Europe depreciated only modestly or rose."
gpt-5-mini,codebook,ed6f756727019a652bd784765ff0dd0e71b0f78cc72d1ad6562b06a56a8e50cf,hawkish,inflation,,,"In light of the continuing broad-based and unacceptably high level of inflation and upside risks to the inflation outlook, participants remarked that purposefully moving to a more restrictive policy stance was consistent with risk-management considerations."
gpt-5-mini,codebook,ed72c50d2190af2c581f2f5da6bb36d940bb0b236f19b20e56000aa56b8b5ab7,neutral,financial_stability,,,"In the CRE sector, delinquency rates on nonfarm nonresidential CRE bank loans rose over the second quarter, while delinquency rates on construction, land development, and multifamily loans were roughly unchanged."
gpt-5-mini,codebook,ed8d01e54e8c5ed0d2d821d54e68cedceb76fc04899bef157fa01b9f37a1a501,neutral,growth,368,83,"Household spending is rising moderately and business fixed investment is advancing, while the recovery in the housing sector remains slow."
gpt-5-mini,codebook,ed9d1a4e5c3a581da33aeb2714393e828c0b6bb03ec4fd164aee56df7b471fd0,dovish,inflation,,,"Global growth continues to slow, and inflation, while still too high, is coming down due primarily to lower energy prices."
gpt-5-mini,codebook,edbfacba5dc87c8250c6c2fc8a860d4fc851cd7f05a90d993f2f7c03277974b2,neutral,growth,368,82,"While uncertainty about trade policies continues to weigh on businesses, the rotation of demand towards business investment and exports is proceeding."
gpt-5-mini,codebook,edcde460aac8eadb2a37e7715a5b2ca4dce9b749afbd6292adab051a2a19e131,neutral,growth,382,85,"The US is experiencing a strong consumer-driven recovery and a rebound is beginning to take shape in Europe, while a resurgence of the virus is hampering the recovery in some emerging market economies."
gpt-5-mini,codebook,edf2ba7ed811fd4f7733d027aeae7e98233dd028a8aec97bd96a1c66290f159c,neutral,inflation,381,214,"Core inflation is close to 2 per cent because the effect of persistent economic slack is still being offset by that of past exchange rate depreciation, although the latter effect is dissipating."
gpt-5-mini,codebook,ee0b213334563cac73918b9e11f68c1ba97c8578f054aa1c8278e6134eecaa41,dovish,guidance,393,277,"The projected improvement in economic activity was expected to be supported by highly accommodative monetary policy, diminished fiscal policy restraint, and a pickup in global economic growth, as well as a further easing of credit conditions and continued improvements in household balance sheets."
gpt-5-mini,codebook,ee0cdf39a323ecd8bcd47e943830ba1e1cd0473e3eb0c48c020e0e1ec2476d55,neutral,growth,,,"Regarding the business sector, many participants highlighted strong investment in technology, particularly spending related to AI and data centers."
gpt-5-mini,codebook,ee1f26398714dac7c758302dba2e9a5be5a07e0b041b17e94505cb0e719220ec,neutral,inflation,,,"As it sets monetary policy, Governing Council will be particularly focused on these indicators, and the evolution of core inflation, to gauge the progress of CPI inflation back to target."
gpt-5-mini,codebook,ee1f5e8a5ad163e112fdcfa82798a0a408b304508f1b37684e7e62104ac67385,neutral,growth,,,"July 30, 2025 Although swings in net exports continue to affect the data, recent indicators suggest that growth of economic activity moderated in the first half of the year."
gpt-5-mini,codebook,ee21b09710fc8656038ec0f17cc8701f901ecfb9bb0f5631b3ca4160d4aa7ea3,neutral,guidance,,,The manager observed that reserves stood above $3.2 trillion and were expected to increase as the Treasury General Account (TGA) declined until resolution of the debt limit situation.
gpt-5-mini,codebook,ee22bfb24ea68c5ba1025b21165865bf43212e28552bf45fe99997b1c0b38781,neutral,growth,,,"In the United States, domestic demand remained relatively strong but higher imports pulled down first-quarter GDP."
gpt-5-mini,codebook,ee36ae516c8ccdc8a6a9781b317592c22e0d2b585eaaa1c37c4a6f85cc67df20,hawkish,inflation,,,Shelter price inflation remains elevated and is the biggest contributor to inflation.
gpt-5-mini,codebook,ee3c0486cee8810a7cac9f27611ea95cff4f3f4d68d544b1763499636f7dba7b,neutral,guidance,364,83,"The next scheduled date for announcing the overnight rate target is May 29, 2019."
gpt-5-mini,codebook,ee4b040d594d9b386dbeff74d6c52dbf6db4fdcf7181ec5a4f66e2609f069993,dovish,growth,,,"In the euro area, the economy looks to be in a mild contraction."
gpt-5-mini,codebook,ee4ff04c4882beb7a42d82de57e787091d014c9b8ff380500a1d803d76189ede,neutral,financial_stability,365,215,"Yet, the Canadian dollar is lower, reflecting broad-based US dollar strength and concerns about trade actions."
gpt-5-mini,codebook,ee65f826986e2650a5b987c00ccc0f86ce3d60d93fa633a112c95ec08c8d3fe2,neutral,guidance,,,"The Committee's assessments will take into account a wide range of information, including readings on public health, labor market conditions, inflation pressures and inflation expectations, and financial and international developments."
gpt-5-mini,codebook,ee81ef367fae905e936ffce09b9ea3534130c1d41445562ceb5035799aac1ee2,hawkish,inflation,,,"Inflation remains elevated relative to the Committee's 2 percent goal, in part reflecting supply shocks that have driven price increases in certain sectors, including energy."
gpt-5-mini,codebook,ee8a1a07ed7de41432bbf77ed327549b460cab68962f59e55c55da9b80d4f809,hawkish,guidance,,,"The average estimate of survey respondents for the timing of the end of balance sheet runoff shifted a bit later, to June 2025."
gpt-5-mini,codebook,eea8f7c0ae65a534835f827ca4a618ff6e76dfa6a9af2c88c0d3a3fc95614daf,hawkish,inflation,,,"Headline inflation rates were near targets in most foreign economies, held down by past declines in oil prices and fading wage pressures following a tightening in monetary policy stances over the past few years."
gpt-5-mini,codebook,eeb527d15e32287c3178a59119de62d186884363d5c8e755eb8ec84d8cfe63de,dovish,growth,376,85,"The Bank continues to expect this strong reopening phase to be followed by a protracted and uneven recuperation phase, which will be heavily reliant on policy support."
gpt-5-mini,codebook,eebf298585e39aa6382b9244163c70a72a23980f27a332fe4a12878821a2854f,hawkish,inflation,,,"While the Bank’s Business Outlook Survey suggests acute labour shortages are starting to ease, wage growth is still elevated relative to productivity growth."
gpt-5-mini,codebook,eecd33025291e9b40df0bb88753ac6195dc291f27a674748fb75b5404771db5e,neutral,inflation,361,212,The Bank’s base-case projection assumes oil prices around US$60 per barrel.
gpt-5-mini,codebook,eecfdd71a549152b8e7db9ef1306d884fd00febeddaebe6eccde79d002b523e7,dovish,inflation,368,85,"Inflation has declined further below the Committeeâs longer-run objective, largely reflecting declines in energy prices."
gpt-5-mini,codebook,eed8bdc4aa76f9b9b478dbe1ac9819251ca3ae9f436ad225effc207f3840e60e,neutral,financial_stability,,,Participants generally noted that banking stresses had receded and conditions in the banking sector were much improved since early March.
gpt-5-mini,codebook,eee430ff622249d2f57c075a7e77550744b1f85d10f0c0404aacf20a6a8d798e,dovish,guidance,388,85,"In particular, the Committee is maintaining its existing policy of reinvesting principal payments from its securities holdings and intends to purchase $600 billion of longer-term Treasury securities by the end of the second quarter of 2011."
gpt-5-mini,codebook,eeecb8cb50dc97f01f25c68ea803923ceb6173145adabc381089fd1666395ce7,neutral,guidance,,,A market notice providing operational details for QT will be published this morning on the Bank’s web site.
gpt-5-mini,codebook,eef3910eaadc2088ca4b8af6abe11d3c4ab55e85afda563ffceb46b636bf0933,neutral,inflation,364,147,"While the output gap has widened in recent months, measures of inflation remain around 2 percent."
gpt-5-mini,codebook,ef00501d653a576d0de335c2808fde502bd4ea26d6dce778eb1cdb8eda059d83,neutral,growth,,,"However, the extent of these effects remained uncertain."
gpt-5-mini,codebook,ef1630afc6211c1248034ca673a3270350972635cfc3f4e7cda3e76aa12d3a36,neutral,growth,367,18,"GDP grew 9.6% in the final quarter of 2020, led by strong inventory accumulation."
gpt-5-mini,codebook,ef24feebf260ef2dc1895a157e1e9da333ba70462f7254c366d7b9fd82ed7151,neutral,growth,382,341,"The next full update of the Bank’s outlook for the economy and inflation, including risks to the projection, will be published in the MPR on October 24, 2018."
gpt-5-mini,codebook,ef28e936c3b31415f0cdbc509aff7a242df2b773174b41861ae928ec0b72146c,neutral,growth,357,146,"Canada’s economy has rebounded, as projected in July."
gpt-5-mini,codebook,ef2cae57e084b7985248785f475009659e568058f1d6f15301a469d7639d017b,neutral,growth,,,Growth in private domestic demand remained strong but eased.
gpt-5-mini,codebook,ef4969261ef4542fff23dbb51a30af9aaaa62f72debc37ea19fe7c937c048ca5,neutral,growth,,,"December 18, 2024 Recent indicators suggest that economic activity has continued to expand at a solid pace."
gpt-5-mini,codebook,ef6239c2a06e96a0ae030194c2465d350330e62adcc5fe4343ad8a716caa441a,neutral,guidance,,,"The next scheduled date for announcing the overnight rate target is October 27, 2021."
gpt-5-mini,codebook,ef704b1afbd7ef575dcf252a43d6f3fe181acd7f145d6e171886b64b91e917a0,neutral,employment,,,"Employment rebounded through June and July, with hard-to-distance sectors hiring as public health restrictions eased."
gpt-5-mini,codebook,ef885d1785064d137da0291cfaa715db7c7c326f1ecf29afd2416508230f8bc8,neutral,guidance,,,"Members agreed that their assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments."
gpt-5-mini,codebook,ef8c4b9b5460d1c1856399866101c1f06dea7fe17e1bc6e6d7334487531fb857,neutral,financial_stability,,,"However, firms judged to have significant exposure to AI disruption saw sharp increases in their borrowing costs."
gpt-5-mini,codebook,ef9ad33e282e4f8c75c970acc45adf6b2a20a9c093d4d470fbd19b1a2cfee676,hawkish,employment,362,470,"Labor market conditions have improved further, with strong job gains and a lower unemployment rate."
gpt-5-mini,codebook,efa0136a1dd390a2e0c58bccdda1b58d7f3b68f0abf04f012cf51e58ce91f7a1,neutral,growth,365,338,Elevated trade tensions remain a key risk to the global outlook and are pulling some commodity prices lower.
gpt-5-mini,codebook,efa2cccadcac586ef1de2354fdcf0a33ac9064fe4ec32a0cb946c5408bfae4ed,neutral,financial_stability,357,212,"However, global economic and financial developments continue to pose risks."
gpt-5-mini,codebook,efb24615e7ad1d032c98aa2eea2955d515ab023b612c1d4b59fcaeba6e4ad193,neutral,growth,387,210,"Economic momentum heading into the fourth quarter appears to be stronger than was expected in October but, in recent weeks, record high cases of COVID-19 in many parts of Canada are forcing re-imposition of restrictions."
gpt-5-mini,codebook,efb29b398f9fde67c67550acdbdfa2e0913f67c3e6c546bbb7dc8174e71b848b,neutral,financial_stability,374,212,"Al­though commercial property prices moved down, developments in the CRE sector following the pandemic may have produced a permanent shift away from traditional working patterns."
gpt-5-mini,codebook,efb895474380d64ceeb746dd4db7466c79e24f03fc7ba6f0d2afd96235e28542,neutral,financial_stability,,,This extreme market volatility is adding to uncertainty.
gpt-5-mini,codebook,efc4f4537365b3e79bcdfbd7a76caca6e686fff21584b4b5e655629f850edbda,neutral,guidance,383,339,"The Committee judges that the current stance of monetary policy is appropriate to support sustained expansion of economic activity, strong labor market conditions, and inflation returning to the Committee's symmetric 2 percent objective."
gpt-5-mini,codebook,efd3b5ad9dc6ee655abfe9b19f6f2f0b3e07ffb821c23b4c08b1d3b9844b7739,hawkish,inflation,,,The Bank is closely watching inflation expectations and labour costs to ensure that the temporary forces pushing up prices do not become embedded in ongoing inflation.
gpt-5-mini,codebook,efe706a84fd6fc959d600ba7199e2747f702a458f4e737be8ea4f98065cf095c,dovish,financial_stability,365,342,Financial conditions in major economies remain very accommodative and continue to provide much-needed support to economic activity.
gpt-5-mini,codebook,efeffdd1e3dc975f614de05428477c35ddcce428b7d882e3cf065d576dd4e5b9,neutral,growth,358,210,The resource sector is still contending with lower prices for commodities.
gpt-5-mini,codebook,efff67b8ad3aa92a10133e73d12acdbd570a39b89011a7ce6ab3220e8a6e130f,neutral,inflation,384,147,"Taking into account the effects of the new carbon pollution charge, as well as modest excess capacity, the Bank expects inflation to remain around 2 per cent through 2020 and 2021."
gpt-5-mini,codebook,f03f773d321b462589ab63af7f1c32115c9068792d783cdc2b328acfcfd7698a,neutral,inflation,,,"Inflation in most advanced economies continues to ease, although progress towards price stability is bumpy and is proceeding at different speeds across regions."
gpt-5-mini,codebook,f04863c5839e0312ad917daa9070e2c58bb5779fc153139277c15d3aa6cd42e0,neutral,financial_stability,,,Increased political uncertainty led to volatility of longer-term government bond yields in some advanced foreign economies.
gpt-5-mini,codebook,f056fa4d6d40305fc3bda8bff0a96a69d36bbef11e6d6b2755ba963e710cf223,dovish,employment,370,276,"The stance of monetary policy remains accommodative, thereby supporting strong labor market conditions and a sustained return to 2 percent inflation."
gpt-5-mini,codebook,f062d99d1ecff217cf749e383822fb0ecbcc5bb56dfecd1ff837ffdc615ea699,neutral,guidance,,,"Implementation Note issued December 15, 2021"
gpt-5-mini,codebook,f066c80c93d6764dd4b3a2c3720a5ef5a9a223a4dbe97c40e46be312a1f7a056,neutral,growth,,,"January 28, 2026 Available indicators suggest that economic activity has been expanding at a solid pace."
gpt-5-mini,codebook,f0721181e1f580a2943c2a80612293b3ca9f77db0cde6a8daf8067a975288baf,neutral,employment,384,149,"August 01, 2018 Information received since the Federal Open Market Committee met in June indicates that the labor market has continued to strengthen and that economic activity has been rising at a strong rate."
gpt-5-mini,codebook,f075c5e12f003a5d9636e6a7e04291fe56f6e87dfa46ccab6b3b8fa269c71fa0,neutral,growth,,,"China’s economy continues to be boosted by strength in exports, but domestic demand remains weak."
gpt-5-mini,codebook,f08355436ce4f7b39212fda0a2bb3e0ad07083f3e42ba82ea8d4c56220ceaf9d,dovish,inflation,,,"After that, inflation was projected to decline to 2 percent by 2027."
gpt-5-mini,codebook,f084932ee0e9912b1c4a00827afe83a8ae1fdfb6448bdaee02d1642124823bb7,neutral,growth,381,85,"In Canada, economic data since the April MPR have, on balance, supported the Bank’s outlook for growth around 2 per cent in the first half of 2018."
gpt-5-mini,codebook,f09f797ede1c3adc33048f211b6852d2badffcf6544c29453b71eca9c275cfa5,dovish,inflation,,,"The staff noted that increased uncertainty and ongoing volatility had reduced risk appetite in financial markets and eased price pressures, although valuations of many assets remained elevated."
gpt-5-mini,codebook,f0c964c61c68928b3012a72892bf121a140a67c8a9c4a70d207d3a676a9495b3,hawkish,financial_stability,,,"and house prices grew strongly, with price-to-rent ratios that were at elevated levels."
gpt-5-mini,codebook,f0cbdbf6cfddc2857ca0b95cae1bf6cb0fc2b45ac3c12557dfe9308ea59963df,hawkish,guidance,378,212,"When the Committee decides to begin to remove policy accommodation, it will take a balanced approach consistent with its longer-run goals of maximum employment and inflation of 2 percent."
gpt-5-mini,codebook,f0e538659bbae5e5dfc45f69286905506d5b6f400d706cb9b50ef0e234f7a0ee,neutral,growth,,,China and the United States have stepped back from extremely high tariffs and bilateral trade negotiations have begun with a number of countries.
gpt-5-mini,codebook,f0e8473470b3ba18b96cf4e60d85c2a8d8938d4b26a6fea67eaf8bbad9862c6b,dovish,growth,,,"However, tariffs and uncertainty have weakened the outlook."
gpt-5-mini,codebook,f0f74414110558e0fa9216b125ecf209bfaf7ba290ff14c829b747f2d3c7bde5,neutral,growth,379,85,"June 18, 2014 For immediate release Information received since the Federal Open Market Committee met in April indicates that growth in economic activity has rebounded in recent months."
gpt-5-mini,codebook,f105d2fc0093ec359d13b886cfeb47dfe0344a525c31fdc548db0899b8fd0be7,neutral,guidance,,,"It was agreed that the next meeting of the Committee would be held on TuesdayâWednesday, July 29â30, 2025."
gpt-5-mini,codebook,f10960a259d9bc377cf231b2bddf85eabb007e234c897015e6d2a293bd832364,neutral,inflation,,,"Inflation was projected to decline in 2026, to reach 2 percent in 2027, and to remain there in 2028."
gpt-5-mini,codebook,f10eb15fa7c7dbd5aac455ada5c682bf61e7ae1342a34d390ffc25d8ad4b14b9,neutral,growth,,,"Global economic growth continues to slow, with inflation easing gradually across most economies."
gpt-5-mini,codebook,f11224b6324d42f80c767ae327bc187e7c812456863b0f24401f46318c228d5c,neutral,growth,,,"The global economy grew by about 3% in the first quarter of 2024, broadly in line with the Bank’s April Monetary Policy Report (MPR) projection."
gpt-5-mini,codebook,f1211f6c6321b6f1284a0b1fca59e5ef84a21058377216b3f70842f81c93956d,neutral,growth,,,These include: the extent to which higher tariffs reduce demand for Canadian exports
gpt-5-mini,codebook,f124d5836c9a90a0a496400c25140173877965108ac5a75387538a64051cb6da,neutral,inflation,,,"Real yields increased almost as much as or a little more than nominal yields, leaving implied measures of inflation compensation modestly changed."
gpt-5-mini,codebook,f152a2262bee787ac72b5f1eabf819e3361b5efdb39979786b59306ffcde8b41,neutral,guidance,359,83,The appropriate pace of rate increases will depend on a number of factors.
gpt-5-mini,codebook,f16c9a09f173bab719c8a25d4559ca4a349afe732cb23f0cef1b7d89f78b800f,neutral,guidance,,,"If inflation and economic activity evolve broadly in line with the October projection, Governing Council sees the current policy rate at about the right level to keep inflation close to 2% while helping the economy through this period of structural adjustment."
gpt-5-mini,codebook,f17a6b5ce05dcf9c4f358c63c533ebde98f4f9efeccba1cea574cb1088422161,neutral,guidance,360,403,"In our October projection, this does not happen until into 2023."
gpt-5-mini,codebook,f17a6e40f57dfc2ac39ab894421993ebcedc968d20e7d9138447a7911cbffb36,neutral,growth,364,213,"Hurricanes Harvey, Irma, and Maria have devastated many communities, inflicting severe hardship."
gpt-5-mini,codebook,f182045c9b9d47cee0bdd629ece870d766fdd7f18ba9182ba6ebe8c4864fc632,neutral,financial_stability,371,212,"However, significant geopolitical risks and uncertainties around international trade and fiscal policies remain, leading to a weaker US dollar against many major currencies."
gpt-5-mini,codebook,f18448e43642bdcf1b31232d100488ebebb1d9d38158bb0218f9e57ba3b8c717,neutral,growth,360,146,Household spending has been growing strongly but business fixed investment has been soft.
gpt-5-mini,codebook,f18512a5e488e8280f53e5f88824e88646848d40edf963adba7b41403ec8cb24,neutral,employment,382,210,The Committee expects economic growth over coming quarters to be modest and consequently anticipates that the unemployment rate will decline only gradually toward levels that the Committee judges to be consistent with its dual mandate.
gpt-5-mini,codebook,f18d28cc411723427e7b3a372e5213e2229d598e3840b16a833aecf0a0f0bd69,neutral,guidance,389,150,"For the time being, the Committee is maintaining its existing policy of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities and of rolling over maturing Treasury securities at auction."
gpt-5-mini,codebook,f1a543081c1847e116748f32149ad78e8fff3b4ca11a7622c3d2169a5c03fb79,hawkish,guidance,,,"In addition, the Committee expects to begin reducing its holdings of Treasury securities and agency debt and agency mortgage-backed securities at a coming meeting."
gpt-5-mini,codebook,f1a9284e047b290b8fb4883f2ab5d60641e09145b3a70472327f32a0170bb724,dovish,employment,,,"Labour market conditions have remained soft, reflecting ongoing economic slack."
gpt-5-mini,codebook,f1aad0b633393b698f472e44e41b0495c895883ffa7e0da9667a645090d8c1d1,neutral,guidance,362,214,"Jane E. Ihrig, Associate Director, Division of Monetary Affairs, Board of Governors"
gpt-5-mini,codebook,f1b7b1fe587a7c82f604a816e179ca83c47a219cf62b310f4808712663c2d11b,hawkish,inflation,,,Elevated housing market activity continues to put upward pressure on house prices.
gpt-5-mini,codebook,f1db4250bc616138af874c808cf3ed1a4a66d69555bdeb58a19c964706b90646,neutral,guidance,355,211,"Implementation Note issued September 16, 2020"
gpt-5-mini,codebook,f1e0d453ea66972c64c44fd009828445a5854ae908cfdbf8299c10e93bfab80a,neutral,financial_stability,365,148,A broad-based decline in the US exchange rate has contributed to a further appreciation of the Canadian dollar.
gpt-5-mini,codebook,f1f510d36911aeb111ef4c397589ca5978a213f49e2fc5e7c310423363a36ad2,neutral,growth,362,82,The recovery remains highly dependent on the evolution of the pandemic and the pace of vaccinations.
gpt-5-mini,codebook,f1fb3c03d345d25bc015120438428afe71cf71a1d76ba5b8df33654689af0a82,hawkish,financial_stability,373,213,"Global markets are reacting to the spread of the virus by repricing risk across a broad set of assets, making financial conditions less accommodative."
gpt-5-mini,codebook,f204bd889a8a2a978bc79f491766092d7315f63d9bbc80f8248efc462094a829,hawkish,inflation,,,"However, inflation excluding gasoline increased and data indicate a further broadening of price pressures, particularly in services."
gpt-5-mini,codebook,f207008387649f131b7e08d02b9a8ac1f4ed5aec4b1ea2e57241dc52b9db5077,dovish,inflation,393,342,"With inflation running persistently below this longer-run goal, the Committee will aim to achieve inflation moderately above 2 percent for some time so that inflation averages 2 percent over time and longer-term inflation expectations remain well anchored at 2 percent."
gpt-5-mini,codebook,f20bf416fd9d51b4280fad2cdbb1b09de5241640a2702e71390d6fe356a5becf,neutral,growth,385,146,"Economic activity continues to be underpinned by solid household spending and a firm recovery in the United States, with particular strength in the sectors of the U.S. economy that are important for Canadian exports."
gpt-5-mini,codebook,f211add133bb606b4796ac1dba09274cfd143c7489e6662e36e3256ac6fd4e5d,neutral,growth,,,"In Canada, robust economic growth has resumed, following a pause in the second quarter."
gpt-5-mini,codebook,f21920cd94c0967cdce55c559f7ef606124b3e2c0db4ea1c0ba8ffb6a93abaa7,neutral,growth,375,85,The pace of the recovery remains highly dependent on the path of the COVID-19 pandemic and the evolution of social distancing measures required to contain its spread.
gpt-5-mini,codebook,f21c694a28a4ae9f8737a3b31b8825463da56319d414c73c589384f98ded69ad,neutral,inflation,,,"With respect to the agricultural sector, a few participants noted that conditions were mixed, as crop prices had declined amid higher production estimates and as supply and demand imbalances pushed up the prices of some types of livestock and held down the prices of others."
gpt-5-mini,codebook,f2247df31f518c548617016bbec3e7338ac6d062d16002de75fdb64e420adcd0,neutral,guidance,415,83,"Voting for the FOMC monetary policy action were Janet L. Yellen, Chair; William C. Dudley, Vice Chairman; Thomas I. Barkin; Raphael W. Bostic; Lael Brainard; Loretta J. Mester; Jerome H. Powell; Randal K. Quarles; and John C. Williams."
gpt-5-mini,codebook,f235d0d10b990116552a8f75a44886ea8da44186d8d5bba8c9a6f0d45ce7c5b8,neutral,inflation,,,"Excluding taxes, inflation was 2.4%."
gpt-5-mini,codebook,f244f4fff3e4dafc01a1e1000e03da304f45e34e3feef4851cf4236d7378e275,neutral,growth,,,"In contrast to strong U.S. GDP growth in the fourth quarter, economic growth in foreign economies was generally weak amid tight monetary policy, the erosion in real household incomes from high inflation, and the ongoing repercussions of the 2022 energy shock in Europe."
gpt-5-mini,codebook,f24b09f8ddd890a59c17dabbe03d02e9d2315487006dfa272f7f531ec75a893e,neutral,growth,376,274,"Canada’s economy had strong momentum through to late 2020, but the resurgence of cases and the reintroduction of lockdown measures are a serious setback."
gpt-5-mini,codebook,f25012b132515ba49a63eb2123532d0cf7f3022d890d19541ce791d45746b149,neutral,growth,,,Staff Review of the Economic Situation The information available at the time of the meeting indicated that real GDP expanded at a tepid pace in the first half of the year.
gpt-5-mini,codebook,f25266ad3c11899f660237c440c9b18617a4e64cc32bfb3da57ce4e15717e765,neutral,financial_stability,,,"Over the intermeeting period, foreign financial markets were driven by greater investor confidence in the U.S. economic outlook, foreign economic data releases, and political developments."
gpt-5-mini,codebook,f25e1187ad6c8622e3412b601fb6395498c6ed010c3e2653879330c01e403089,dovish,inflation,,,"The Canadian economy has entered a period of weaker growth, which is needed to relieve price pressures."
gpt-5-mini,codebook,f264946a686db9767fcdd2e6d83e4c7b4e0dbd59a95ff2ddcda56fb58004ad38,neutral,employment,384,274,"September 26, 2018 Information received since the Federal Open Market Committee met in August indicates that the labor market has continued to strengthen and that economic activity has been rising at a strong rate."
gpt-5-mini,codebook,f264d41799ae871bc4d0365d59bbf236200b8a196bfcd19ad8195d50a685e8bd,neutral,growth,,,"In China, the decline in exports to the United States has been largely offset by an increase in exports to the rest of the world."
gpt-5-mini,codebook,f267b7cf61b710033bbfd014cc5a88af124ad38c9f9f40fdd7a0cdee4b251d96,neutral,growth,,,Productivity growth and capital investment are strong.
gpt-5-mini,codebook,f26e2eb53bb66e35c69c91ec5adc5a2d838454dd055e7586efdd056ac9b0dcd4,neutral,guidance,393,150,"At present, the Bank’s Governing Council judges that the overall balance of risks is still in the zone for which the current stance of monetary policy is appropriate, and the target for the overnight rate remains at 1/2 per cent."
gpt-5-mini,codebook,f28ecb60357d214ebf4525934f942ef12092fc559083c3733e3903c58df3a885,neutral,inflation,,,"While inflation remained somewhat above the Committee's longer-run goal of 2 percent, participants noted that inflation had eased over the past year and that recent incoming data indicated some further progress toward the Committee's objective."
gpt-5-mini,codebook,f2a74189696045fc5c6b6015b4e5a12e351e14383220cef5788c7bda6deeba7e,neutral,growth,364,82,The coronavirus outbreak is causing tremendous human and economic hardship across the United States and around the world.
